Product ID,SKU,Product Name,Brand,Category,Subcategory,Description,Original Price ($),Discount (%),Sale Price ($),Currency,Stock Quantity,Stock Status,Rating,Review Count,Weight (kg),Color,Size,Is Featured,Is New Arrival,Is Bestseller,Date Added,Tags,Image URL,Product URL
PROD-000455,TOY-00455-125,LeapFrog STEM Puzzle,LeapFrog,Toys & Games,Building Toys,STEM Puzzle by LeapFrog. High-quality retail product with excellent durability and performance. Perfect for everyday use.,180.52,0,180.52,USD,2523,In Stock,4.4,1919,15.48,Red,6,No,Yes,No,2023-10-31,"toys & games, leapfrog, puzzle, stem",https://images.retail-demo.com/toys-games/puzzle-1.jpg,https://retail-demo.com/products/prod-000455
PROD-000334,BEA-00334-552,Benefit Long-lasting Hair Serum,Benefit,Beauty & Health,Hair Care,Long-lasting Hair Serum by Benefit. High-quality retail product with excellent durability and performance. Perfect for everyday use.,49.89,15,42.41,USD,733,In Stock,4.0,3726,9.21,Blue,M,No,Yes,No,2022-01-01,"beauty & health, benefit, hair serum, long-lasting",https://images.retail-demo.com/beauty-health/hair-serum-5.jpg,https://retail-demo.com/products/prod-000334
PROD-000327,BEA-00327-366,Urban Decay Nourishing Eyeliner,Urban Decay,Beauty & Health,Hair Care,Nourishing Eyeliner by Urban Decay. High-quality retail product with excellent durability and performance. Perfect for everyday use.,74.09,50,37.05,USD,2741,In Stock,3.2,12204,9.07,Brown,N/A,No,No,No,2022-02-10,"beauty & health, urban decay, eyeliner, nourishing",https://images.retail-demo.com/beauty-health/eyeliner-4.jpg,https://retail-demo.com/products/prod-000327
PROD-000311,BEA-00311-902,Too Faced Nourishing Shampoo,Too Faced,Beauty & Health,Fragrance,Nourishing Shampoo by Too Faced. High-quality retail product with excellent durability and performance. Perfect for everyday use.,148.8,20,119.04,USD,4522,In Stock,4.5,6775,12.11,Green,7,No,No,Yes,2023-09-21,"beauty & health, too faced, shampoo, nourishing",https://images.retail-demo.com/beauty-health/shampoo-5.jpg,https://retail-demo.com/products/prod-000311
PROD-000405,SPO-00405-340,Nike Professional Basketball,Nike,Sports & Outdoors,Water Sports,Professional Basketball by Nike. High-quality retail product with excellent durability and performance. Perfect for everyday use.,424.97,15,361.22,USD,255,In Stock,3.2,4628,17.59,Navy,9,No,No,No,2024-04-11,"sports & outdoors, nike, basketball, professional",https://images.retail-demo.com/sports-outdoors/basketball-4.jpg,https://retail-demo.com/products/prod-000405
PROD-000482,TOY-00482-453,Hot Wheels Glow-in-Dark Yo-Yo,Hot Wheels,Toys & Games,Educational,Glow-in-Dark Yo-Yo by Hot Wheels. High-quality retail product with excellent durability and performance. Perfect for everyday use.,10.24,50,5.12,USD,3507,In Stock,3.7,1599,10.36,Black,9,No,Yes,No,2023-04-26,"toys & games, hot wheels, yo-yo, glow-in-dark",https://images.retail-demo.com/toys-games/yo-yo-3.jpg,https://retail-demo.com/products/prod-000482
PROD-000511,TOY-00511-708,LEGO Interactive Rubik's Cube,LEGO,Toys & Games,Arts & Crafts,Interactive Rubik's Cube by LEGO. High-quality retail product with excellent durability and performance. Perfect for everyday use.,94.74,50,47.37,USD,2206,In Stock,4.0,10299,0.24,Black,9,No,No,No,2022-09-22,"toys & games, lego, rubik's cube, interactive",https://images.retail-demo.com/toys-games/rubiks-cube-2.jpg,https://retail-demo.com/products/prod-000511
PROD-000165,FOO-00165-819,Kellogg's Non-GMO Almond Milk,Kellogg's,Food & Grocery,Snacks,Non-GMO Almond Milk by Kellogg's. High-quality retail product with excellent durability and performance. Perfect for everyday use.,20.19,30,14.13,USD,77,In Stock,4.0,10437,2.16,Gold,One Size,No,No,No,2022-07-15,"food & grocery, kellogg's, almond milk, non-gmo",https://images.retail-demo.com/food-grocery/almond-milk-5.jpg,https://retail-demo.com/products/prod-000165
PROD-000305,BEA-00305-187,Benefit Soothing Primer,Benefit,Beauty & Health,Makeup,Soothing Primer by Benefit. High-quality retail product with excellent durability and performance. Perfect for everyday use.,91.9,40,55.14,USD,2322,In Stock,4.3,14398,11.29,Beige,12,No,Yes,Yes,2023-03-26,"beauty & health, benefit, primer, soothing",https://images.retail-demo.com/beauty-health/primer-4.jpg,https://retail-demo.com/products/prod-000305
PROD-000182,FOO-00182-290,Nestlé Vegan Hot Sauce,Nestlé,Food & Grocery,Organic,Vegan Hot Sauce by Nestlé. High-quality retail product with excellent durability and performance. Perfect for everyday use.,28.86,25,21.64,USD,1511,In Stock,3.5,6641,16.47,Navy,XS,No,No,No,2024-05-29,"food & grocery, nestlé, hot sauce, vegan",https://images.retail-demo.com/food-grocery/hot-sauce-4.jpg,https://retail-demo.com/products/prod-000182
